Country,Vaccine,Rec_Level
lebanon,Routine vaccines,All travelers
lebanon,Hepatitis A,Most travelers
lebanon,Typhoid,Most travelers
lebanon,Hepatitis B,Some travelers
lebanon,Rabies,Some travelers
lesotho,Measles,All travelers
lesotho,Routine vaccines,All travelers
lesotho,Hepatitis A,Most travelers
lesotho,Typhoid,Most travelers
lesotho,Hepatitis B,Some travelers
lesotho,Rabies,Some travelers
lesotho,Yellow Fever,Some travelers
liberia,Measles,All travelers
liberia,Routine vaccines,All travelers
liberia,Yellow Fever,All travelers
liberia,Hepatitis A,Most travelers
liberia,Malaria,Most travelers
liberia,Typhoid,Most travelers
liberia,Hepatitis B,Some travelers
liberia,Rabies,Some travelers
libya,Measles,All travelers
libya,Routine vaccines,All travelers
libya,Hepatitis A,Most travelers
libya,Typhoid,Most travelers
libya,Hepatitis B,Some travelers
libya,Rabies,Some travelers
libya,Yellow Fever,Some travelers
liechtenstein,Measles,All travelers
liechtenstein,Routine vaccines,All travelers
liechtenstein,Hepatitis A,Some travelers
liechtenstein,Hepatitis B,Some travelers
liechtenstein,Rabies,Some travelers
lithuania,Measles,All travelers
lithuania,Routine vaccines,All travelers
lithuania,Hepatitis A,Most travelers
lithuania,Hepatitis B,Some travelers
lithuania,Rabies,Some travelers
luxembourg,Measles,All travelers
luxembourg,Routine vaccines,All travelers
luxembourg,Hepatitis A,Some travelers
luxembourg,Hepatitis B,Some travelers
luxembourg,Rabies,Some travelers
macau-sar,Measles,All travelers
macau-sar,Routine vaccines,All travelers
macau-sar,Hepatitis A,Most travelers
macau-sar,Typhoid,Most travelers
macau-sar,Hepatitis B,Some travelers
macau-sar,Rabies,Some travelers
madagascar,Measles,All travelers
madagascar,Routine vaccines,All travelers
madagascar,Hepatitis A,Most travelers
madagascar,Typhoid,Most travelers
madagascar,Malaria,Some travelers
madagascar,Hepatitis B,Some travelers
madagascar,Rabies,Some travelers
madagascar,Yellow Fever,Some travelers
maderia-islands,Measles,All travelers
maderia-islands,Routine vaccines,All travelers
maderia-islands,Hepatitis A,Some travelers
maderia-islands,Hepatitis B,Some travelers
maderia-islands,Rabies,Some travelers
malawi,Measles,All travelers
malawi,Routine vaccines,All travelers
malawi,Hepatitis A,Most travelers
malawi,Malaria,Most travelers
malawi,Typhoid,Most travelers
malawi,Cholera,Some travelers
malawi,Hepatitis B,Some travelers
malawi,Rabies,Some travelers
malawi,Yellow Fever,Some travelers
malaysia,Measles,All travelers
malaysia,Routine vaccines,All travelers
malaysia,Hepatitis A,Most travelers
malaysia,Typhoid,Most travelers
malaysia,Cholera,Some travelers
malaysia,Hepatitis B,Some travelers
malaysia,Japanese Encephalitis,Some travelers
malaysia,Malaria,Some travelers
malaysia,Rabies,Some travelers
malaysia,Yellow Fever,Some travelers
maldives,Measles,All travelers
maldives,Routine vaccines,All travelers
maldives,Hepatitis A,Most travelers
maldives,Typhoid,Most travelers
maldives,Hepatitis B,Some travelers
maldives,Yellow Fever,Some travelers
mali,Measles,All travelers
mali,Routine vaccines,All travelers
mali,Yellow Fever,All travelers
mali,Hepatitis A,Most travelers
mali,Malaria,Most travelers
mali,Typhoid,Most travelers
mali,Hepatitis B,Some travelers
mali,Meningitis (Meningococcal disease),Some travelers
mali,Rabies,Some travelers
malta,Measles,All travelers
malta,Routine vaccines,All travelers
malta,Hepatitis A,Some travelers
malta,Hepatitis B,Some travelers
malta,Rabies,Some travelers
malta,Yellow Fever,Some travelers
marshall-islands,Measles,All travelers
marshall-islands,Routine vaccines,All travelers
marshall-islands,Hepatitis A,Most travelers
marshall-islands,Typhoid,Most travelers
marshall-islands,Hepatitis B,Some travelers
martinique,Measles,All travelers
martinique,Routine vaccines,All travelers
martinique,Hepatitis A,Most travelers
martinique,Typhoid,Most travelers
martinique,Hepatitis B,Some travelers
martinique,Rabies,Some travelers
martinique,Yellow Fever,Some travelers
mauritania,Measles,All travelers
mauritania,Routine vaccines,All travelers
mauritania,Malaria,Most travelers
mauritania,Hepatitis A,Most travelers
mauritania,Typhoid,Most travelers
mauritania,Hepatitis B,Some travelers
mauritania,Rabies,Some travelers
mauritania,Yellow Fever,Some travelers
mauritius,Measles,All travelers
mauritius,Routine vaccines,All travelers
mauritius,Hepatitis A,Most travelers
mauritius,Typhoid,Most travelers
mauritius,Hepatitis B,Some travelers
mauritius,Rabies,Some travelers
mayotte,Measles,All travelers
mayotte,Routine vaccines,All travelers
mayotte,Hepatitis A,Most travelers
mayotte,Typhoid,Most travelers
mayotte,Malaria,Some travelers
mayotte,Hepatitis B,Some travelers
mayotte,Rabies,Some travelers
mayotte,Yellow Fever,Some travelers
mexico,Measles,All travelers
mexico,Routine vaccines,All travelers
mexico,Hepatitis A,Most travelers
mexico,Typhoid,Most travelers
mexico,Hepatitis B,Some travelers
mexico,Malaria,Some travelers
mexico,Rabies,Some travelers
micronesia,Measles,All travelers
micronesia,Routine vaccines,All travelers
micronesia,Hepatitis A,Most travelers
micronesia,Typhoid,Most travelers
micronesia,Hepatitis B,Some travelers
moldova,Measles,All travelers
moldova,Routine vaccines,All travelers
moldova,Hepatitis A,Most travelers
moldova,Hepatitis B,Some travelers
moldova,Rabies,Some travelers
monaco,Measles,All travelers
monaco,Routine vaccines,All travelers
monaco,Hepatitis A,Some travelers
monaco,Hepatitis B,Some travelers
monaco,Rabies,Some travelers
mongolia,Measles,All travelers
mongolia,Routine vaccines,All travelers
mongolia,Hepatitis A,Most travelers
mongolia,Typhoid,Most travelers
mongolia,Hepatitis B,Some travelers
mongolia,Rabies,Some travelers
montenegro,Measles,All travelers
montenegro,Routine vaccines,All travelers
montenegro,Hepatitis A,Most travelers
montenegro,Hepatitis B,Some travelers
montenegro,Rabies,Some travelers
montserrat,Measles,All travelers
montserrat,Routine vaccines,All travelers
montserrat,Hepatitis A,Most travelers
montserrat,Typhoid,Most travelers
montserrat,Hepatitis B,Some travelers
montserrat,Rabies,Some travelers
montserrat,Yellow Fever,Some travelers
morocco,Measles,All travelers
morocco,Routine vaccines,All travelers
morocco,Hepatitis A,Most travelers
morocco,Typhoid,Most travelers
morocco,Hepatitis B,Some travelers
morocco,Rabies,Some travelers
mozambique,Measles,All travelers
mozambique,Routine vaccines,All travelers
mozambique,Hepatitis A,Most travelers
mozambique,Malaria,Most travelers
mozambique,Typhoid,Most travelers
mozambique,Cholera,Some travelers
mozambique,Hepatitis B,Some travelers
mozambique,Rabies,Some travelers
mozambique,Yellow Fever,Some travelers
namibia,Measles,All travelers
namibia,Routine vaccines,All travelers
namibia,Hepatitis A,Most travelers
namibia,Typhoid,Most travelers
namibia,Hepatitis B,Some travelers
namibia,Malaria,Some travelers
namibia,Rabies,Some travelers
namibia,Yellow Fever,Some travelers
nauru,Measles,All travelers
nauru,Routine vaccines,All travelers
nauru,Hepatitis A,Most travelers
nauru,Typhoid,Most travelers
nauru,Hepatitis B,Some travelers
nepal,Measles,All travelers
nepal,Routine vaccines,All travelers
nepal,Hepatitis A,Most travelers
nepal,Typhoid,Most travelers
nepal,Hepatitis B,Some travelers
nepal,Japanese Encephalitis,Some travelers
nepal,Malaria,Some travelers
nepal,Rabies,Some travelers
nepal,Yellow Fever,Some travelers
netherlands,Measles,All travelers
netherlands,Routine vaccines,All travelers
netherlands,Hepatitis A,Some travelers
netherlands,Hepatitis B,Some travelers
netherlands,Rabies,Some travelers
new-caledonia,Measles,All travelers
new-caledonia,Routine vaccines,All travelers
new-caledonia,Hepatitis A,Most travelers
new-caledonia,Typhoid,Most travelers
new-caledonia,Hepatitis B,Some travelers
new-caledonia,Yellow Fever,Some travelers
new-zealand,Measles,All travelers
new-zealand,Routine vaccines,All travelers
new-zealand,Hepatitis A,Some travelers
new-zealand,Hepatitis B,Some travelers
nicaragua,Measles,All travelers
nicaragua,Routine vaccines,All travelers
nicaragua,Hepatitis A,Most travelers
nicaragua,Typhoid,Most travelers
nicaragua,Hepatitis B,Some travelers
nicaragua,Malaria,Some travelers
nicaragua,Rabies,Some travelers
nicaragua,Yellow Fever,Some travelers
niger,Measles,All travelers
niger,Routine vaccines,All travelers
niger,Yellow Fever,All travelers
niger,Hepatitis A,Most travelers
niger,Malaria,Most travelers
niger,Typhoid,Most travelers
niger,Cholera,Some travelers
niger,Hepatitis B,Some travelers
niger,Meningitis (Meningococcal disease),Some travelers
niger,Rabies,Some travelers
nigeria,Measles,All travelers
nigeria,Yellow Fever,All travelers
nigeria,Routine vaccines,All travelers
nigeria,Polio,All travelers
nigeria,Hepatitis A,Most travelers
nigeria,Malaria,Most travelers
nigeria,Typhoid,Most travelers
nigeria,Cholera,Some travelers
nigeria,Hepatitis B,Some travelers
nigeria,Rabies,Some travelers
nigeria,Meningitis (Meningococcal disease),Some travelers
niue,Routine vaccines,All travelers
niue,Hepatitis A,Most travelers
niue,Typhoid,Most travelers
niue,Hepatitis B,Some travelers
niue,Yellow Fever,Some travelers
norfolk-island,Measles,All travelers
norfolk-island,Routine vaccines,All travelers
norfolk-island,Hepatitis A,Most travelers
norfolk-island,Typhoid,Most travelers
norfolk-island,Hepatitis B,Some travelers
norfolk-island,Yellow Fever,Some travelers
north-korea,Measles,All travelers
north-korea,Routine vaccines,All travelers
north-korea,Hepatitis A,Most travelers
north-korea,Typhoid,Most travelers
north-korea,Hepatitis B,Some travelers
north-korea,Japanese Encephalitis,Some travelers
north-korea,Malaria,Some travelers
north-korea,Rabies,Some travelers
north-korea,Yellow Fever,Some travelers
north-macedonia,Measles,All travelers
north-macedonia,Routine vaccines,All travelers
north-macedonia,Hepatitis A,Most travelers
north-macedonia,Hepatitis B,Some travelers
north-macedonia,Rabies,Some travelers
northern-mariana-islands,Routine vaccines,All travelers
northern-mariana-islands,Hepatitis A,Most travelers
northern-mariana-islands,Typhoid,Most travelers
northern-mariana-islands,Hepatitis B,Some travelers
norway,Measles,All travelers
norway,Routine vaccines,All travelers
norway,Hepatitis A,Some travelers
norway,Hepatitis B,Some travelers
norway,Rabies,Some travelers
oman,Measles,All travelers
oman,Routine vaccines,All travelers
oman,Hepatitis A,Most travelers
oman,Typhoid,Most travelers
oman,Malaria,Some travelers
oman,Hepatitis B,Some travelers
oman,Rabies,Some travelers
oman,Yellow Fever,Some travelers
pakistan,Measles,All travelers
pakistan,Routine vaccines,All travelers
pakistan,Polio,All travelers
pakistan,Hepatitis A,Most travelers
pakistan,Typhoid,Most travelers
pakistan,Hepatitis B,Some travelers
pakistan,Japanese Encephalitis,Some travelers
pakistan,Malaria,Some travelers
pakistan,Rabies,Some travelers
pakistan,Yellow Fever,Some travelers
palau,Measles,All travelers
palau,Routine vaccines,All travelers
palau,Hepatitis A,Most travelers
palau,Typhoid,Most travelers
palau,Hepatitis B,Some travelers
panama,Measles,All travelers
panama,Routine vaccines,All travelers
panama,Hepatitis A,Most travelers
panama,Typhoid,Most travelers
panama,Hepatitis B,Some travelers
panama,Rabies,Some travelers
panama,Yellow Fever,Some travelers
panama,Malaria,Some travelers
papua-new-guinea,Measles,All travelers
papua-new-guinea,Routine vaccines,All travelers
papua-new-guinea,Polio,All travelers
papua-new-guinea,Hepatitis A,Most travelers
papua-new-guinea,Typhoid,Most travelers
papua-new-guinea,Hepatitis B,Some travelers
papua-new-guinea,Japanese Encephalitis,Some travelers
papua-new-guinea,Malaria,Some travelers
papua-new-guinea,Rabies,Some travelers
papua-new-guinea,Yellow Fever,Some travelers
paraguay,Measles,All travelers
paraguay,Routine vaccines,All travelers
paraguay,Hepatitis A,Most travelers
paraguay,Typhoid,Most travelers
paraguay,Hepatitis B,Some travelers
paraguay,Rabies,Some travelers
paraguay,Yellow Fever,Some travelers
paraguay,Malaria,Some travelers
peru,Measles,All travelers
peru,Routine vaccines,All travelers
peru,Hepatitis A,Most travelers
peru,Typhoid,Most travelers
peru,Hepatitis B,Some travelers
peru,Malaria,Some travelers
peru,Rabies,Some travelers
peru,Yellow Fever,Some travelers
philippines,Measles,All travelers
philippines,Polio,All travelers
philippines,Routine vaccines,All travelers
philippines,Hepatitis A,Most travelers
philippines,Typhoid,Most travelers
philippines,Cholera,Some travelers
philippines,Hepatitis B,Some travelers
philippines,Japanese Encephalitis,Some travelers
philippines,Malaria,Some travelers
philippines,Rabies,Some travelers
philippines,Yellow Fever,Some travelers
pitcairn-islands,Measles,All travelers
pitcairn-islands,Routine vaccines,All travelers
pitcairn-islands,Hepatitis A,Most travelers
pitcairn-islands,Typhoid,Most travelers
pitcairn-islands,Hepatitis B,Some travelers
pitcairn-islands,Yellow Fever,Some travelers
poland,Measles,All travelers
poland,Routine vaccines,All travelers
poland,Hepatitis A,Most travelers
poland,Hepatitis B,Some travelers
poland,Rabies,Some travelers
portugal,Measles,All travelers
portugal,Routine vaccines,All travelers
portugal,Hepatitis A,Some travelers
portugal,Hepatitis B,Some travelers
portugal,Rabies,Some travelers
puerto-rico,Routine vaccines,All travelers
puerto-rico,Hepatitis A,Most travelers
puerto-rico,Typhoid,Most travelers
puerto-rico,Hepatitis B,Some travelers
puerto-rico,Rabies,Some travelers
qatar,Measles,All travelers
qatar,Routine vaccines,All travelers
qatar,Hepatitis A,Most travelers
qatar,Typhoid,Most travelers
qatar,Hepatitis B,Some travelers
qatar,Rabies,Some travelers
romania,Measles,All travelers
romania,Routine vaccines,All travelers
romania,Hepatitis A,Most travelers
romania,Hepatitis B,Some travelers
romania,Rabies,Some travelers
russia,Measles,All travelers
russia,Routine vaccines,All travelers
russia,Hepatitis A,Most travelers
russia,Hepatitis B,Some travelers
russia,Japanese Encephalitis,Some travelers
russia,Rabies,Some travelers
rwanda,Measles,All travelers
rwanda,Routine vaccines,All travelers
rwanda,Hepatitis A,Most travelers
rwanda,Malaria,Most travelers
rwanda,Typhoid,Most travelers
rwanda,Hepatitis B,Some travelers
rwanda,Rabies,Some travelers
rwanda,Yellow Fever,Some travelers
reunion,Measles,All travelers
reunion,Routine vaccines,All travelers
reunion,Hepatitis A,Most travelers
reunion,Typhoid,Most travelers
reunion,Hepatitis B,Some travelers
reunion,Rabies,Some travelers
saba,Measles,All travelers
saba,Routine vaccines,All travelers
saba,Hepatitis A,Most travelers
saba,Typhoid,Most travelers
saba,Hepatitis B,Some travelers
saba,Rabies,Some travelers
saba,Yellow Fever,Some travelers
saint-barthelemy,Measles,All travelers
saint-barthelemy,Routine vaccines,All travelers
saint-barthelemy,Hepatitis A,Most travelers
saint-barthelemy,Typhoid,Most travelers
saint-barthelemy,Hepatitis B,Some travelers
saint-barthelemy,Rabies,Some travelers
saint-barthelemy,Yellow Fever,Some travelers
usvirgin-islands,Routine vaccines,All travelers
usvirgin-islands,Hepatitis A,Most travelers
usvirgin-islands,Typhoid,Most travelers
usvirgin-islands,Hepatitis B,Some travelers
usvirgin-islands,Rabies,Some travelers
saint-helena,Measles,All travelers
saint-helena,Routine vaccines,All travelers
saint-helena,Hepatitis A,Most travelers
saint-helena,Typhoid,Most travelers
saint-helena,Hepatitis B,Some travelers
saint-helena,Rabies,Some travelers
st-kitts-and-nevis,Measles,All travelers
st-kitts-and-nevis,Routine vaccines,All travelers
st-kitts-and-nevis,Hepatitis A,Most travelers
st-kitts-and-nevis,Typhoid,Most travelers
st-kitts-and-nevis,Hepatitis B,Some travelers
st-kitts-and-nevis,Rabies,Some travelers
st-kitts-and-nevis,Yellow Fever,Some travelers
saint-lucia,Measles,All travelers
saint-lucia,Routine vaccines,All travelers
saint-lucia,Hepatitis A,Most travelers
saint-lucia,Typhoid,Most travelers
saint-lucia,Hepatitis B,Some travelers
saint-lucia,Rabies,Some travelers
saint-lucia,Yellow Fever,Some travelers
saint-martin,Measles,All travelers
saint-martin,Routine vaccines,All travelers
saint-martin,Hepatitis A,Most travelers
saint-martin,Typhoid,Most travelers
saint-martin,Hepatitis B,Some travelers
saint-martin,Rabies,Some travelers
saint-martin,Yellow Fever,Some travelers
saint-pierre-and-miquelon,Measles,All travelers
saint-pierre-and-miquelon,Routine vaccines,All travelers
saint-pierre-and-miquelon,Rabies,Some travelers
saint-pierre-and-miquelon,Hepatitis A,Some travelers
saint-pierre-and-miquelon,Hepatitis B,Some travelers
samoa,Measles,All travelers
samoa,Routine vaccines,All travelers
samoa,Hepatitis A,Most travelers
samoa,Typhoid,Most travelers
samoa,Hepatitis B,Some travelers
samoa,Yellow Fever,Some travelers
san-marino,Measles,All travelers
san-marino,Routine vaccines,All travelers
san-marino,Hepatitis A,Some travelers
san-marino,Hepatitis B,Some travelers
san-marino,Rabies,Some travelers
saudi-arabia,Measles,All travelers
saudi-arabia,Routine vaccines,All travelers
saudi-arabia,Hepatitis A,Most travelers
saudi-arabia,Typhoid,Most travelers
saudi-arabia,Hepatitis B,Some travelers
saudi-arabia,Malaria,Some travelers
saudi-arabia,Meningitis (Meningococcal disease),Some travelers
saudi-arabia,Rabies,Some travelers
saudi-arabia,Yellow Fever,Some travelers
senegal,Measles,All travelers
senegal,Routine vaccines,All travelers
senegal,Hepatitis A,Most travelers
senegal,Malaria,Most travelers
senegal,Typhoid,Most travelers
senegal,Yellow Fever,Most travelers
senegal,Hepatitis B,Some travelers
senegal,Meningitis (Meningococcal disease),Some travelers
senegal,Rabies,Some travelers
serbia,Measles,All travelers
serbia,Routine vaccines,All travelers
serbia,Hepatitis A,Most travelers
serbia,Hepatitis B,Some travelers
serbia,Rabies,Some travelers
seychelles,Measles,All travelers
seychelles,Routine vaccines,All travelers
seychelles,Hepatitis A,Most travelers
seychelles,Typhoid,Most travelers
seychelles,Hepatitis B,Some travelers
seychelles,Rabies,Some travelers
seychelles,Yellow Fever,Some travelers
sierra-leone,Measles,All travelers
sierra-leone,Routine vaccines,All travelers
sierra-leone,Yellow Fever,All travelers
sierra-leone,Hepatitis A,Most travelers
sierra-leone,Malaria,Most travelers
sierra-leone,Typhoid,Most travelers
sierra-leone,Hepatitis B,Some travelers
sierra-leone,Rabies,Some travelers
singapore,Measles,All travelers
singapore,Routine vaccines,All travelers
singapore,Hepatitis A,Most travelers
singapore,Typhoid,Most travelers
singapore,Hepatitis B,Some travelers
singapore,Rabies,Some travelers
singapore,Yellow Fever,Some travelers
sint-eustatius,Measles,All travelers
sint-eustatius,Routine vaccines,All travelers
sint-eustatius,Hepatitis A,Most travelers
sint-eustatius,Typhoid,Most travelers
sint-eustatius,Hepatitis B,Some travelers
sint-eustatius,Rabies,Some travelers
sint-eustatius,Yellow Fever,Some travelers
sint-maarten,Measles,All travelers
sint-maarten,Routine vaccines,All travelers
sint-maarten,Hepatitis A,Most travelers
sint-maarten,Typhoid,Most travelers
sint-maarten,Hepatitis B,Some travelers
sint-maarten,Rabies,Some travelers
sint-maarten,Yellow Fever,Some travelers
slovakia,Measles,All travelers
slovakia,Routine vaccines,All travelers
slovakia,Hepatitis A,Most travelers
slovakia,Hepatitis B,Some travelers
slovakia,Rabies,Some travelers
slovenia,Measles,All travelers
slovenia,Routine vaccines,All travelers
slovenia,Hepatitis A,Most travelers
slovenia,Hepatitis B,Some travelers
slovenia,Rabies,Some travelers
solomon-islands,Measles,All travelers
solomon-islands,Routine vaccines,All travelers
solomon-islands,Hepatitis A,Most travelers
solomon-islands,Malaria,Most travelers
solomon-islands,Typhoid,Most travelers
solomon-islands,Hepatitis B,Some travelers
solomon-islands,Yellow Fever,Some travelers
somalia,Measles,All travelers
somalia,Routine vaccines,All travelers
somalia,Polio,All travelers
somalia,Hepatitis A,Most travelers
somalia,Malaria,Most travelers
somalia,Typhoid,Most travelers
somalia,Cholera,Some travelers
somalia,Hepatitis B,Some travelers
somalia,Rabies,Some travelers
somalia,Yellow Fever,Some travelers
south-africa,Measles,All travelers
south-africa,Routine vaccines,All travelers
south-africa,Hepatitis A,Most travelers
south-africa,Typhoid,Most travelers
south-africa,Hepatitis B,Some travelers
south-africa,Malaria,Some travelers
south-africa,Rabies,Some travelers
south-africa,Yellow Fever,Some travelers
south-georgia-south-sandwich-islands,Measles,All travelers
south-georgia-south-sandwich-islands,Routine vaccines,All travelers
south-georgia-south-sandwich-islands,Hepatitis A,Most travelers
south-georgia-south-sandwich-islands,Typhoid,Most travelers
south-georgia-south-sandwich-islands,Hepatitis B,Some travelers
south-korea,Measles,All travelers
south-korea,Routine vaccines,All travelers
south-korea,Hepatitis A,Most travelers
south-korea,Typhoid,Most travelers
south-korea,Hepatitis B,Some travelers
south-korea,Japanese Encephalitis,Some travelers
south-korea,Malaria,Some travelers
south-korea,Rabies,Some travelers
south-sudan,Measles,All travelers
south-sudan,Routine vaccines,All travelers
south-sudan,Hepatitis A,Most travelers
south-sudan,Malaria,Most travelers
south-sudan,Typhoid,Most travelers
south-sudan,Yellow Fever,Most travelers
south-sudan,Cholera,Some travelers
south-sudan,Hepatitis B,Some travelers
south-sudan,Meningitis (Meningococcal disease),Some travelers
south-sudan,Rabies,Some travelers
spain,Measles,All travelers
spain,Routine vaccines,All travelers
spain,Hepatitis A,Some travelers
spain,Hepatitis B,Some travelers
spain,Rabies,Some travelers
sri-lanka,Measles,All travelers
sri-lanka,Routine vaccines,All travelers
sri-lanka,Hepatitis A,Most travelers
sri-lanka,Typhoid,Most travelers
sri-lanka,Hepatitis B,Some travelers
sri-lanka,Japanese Encephalitis,Some travelers
sri-lanka,Rabies,Some travelers
sri-lanka,Yellow Fever,Some travelers
sudan,Measles,All travelers
sudan,Routine vaccines,All travelers
sudan,Hepatitis A,Most travelers
sudan,Malaria,Most travelers
sudan,Typhoid,Most travelers
sudan,Cholera,Some travelers
sudan,Hepatitis B,Some travelers
sudan,Meningitis (Meningococcal disease),Some travelers
sudan,Rabies,Some travelers
sudan,Yellow Fever,Some travelers
suriname,Measles,All travelers
suriname,Routine vaccines,All travelers
suriname,Hepatitis A,Most travelers
suriname,Typhoid,Most travelers
suriname,Yellow Fever,Most travelers
suriname,Hepatitis B,Some travelers
suriname,Malaria,Some travelers
suriname,Rabies,Some travelers
sweden,Measles,All travelers
sweden,Routine vaccines,All travelers
sweden,Hepatitis A,Some travelers
sweden,Hepatitis B,Some travelers
sweden,Rabies,Some travelers
switzerland,Measles,All travelers
switzerland,Routine vaccines,All travelers
switzerland,Hepatitis A,Some travelers
switzerland,Hepatitis B,Some travelers
switzerland,Rabies,Some travelers
syria,Measles,All travelers
syria,Routine vaccines,All travelers
syria,Hepatitis A,Most travelers
syria,Typhoid,Most travelers
syria,Hepatitis B,Some travelers
syria,Rabies,Some travelers
sao-tome-and-principe,Measles,All travelers
sao-tome-and-principe,Routine vaccines,All travelers
sao-tome-and-principe,Hepatitis A,Most travelers
sao-tome-and-principe,Malaria,Most travelers
sao-tome-and-principe,Typhoid,Most travelers
sao-tome-and-principe,Yellow Fever,Some travelers
sao-tome-and-principe,Hepatitis B,Some travelers
sao-tome-and-principe,Rabies,Some travelers
taiwan,Measles,All travelers
taiwan,Routine vaccines,All travelers
taiwan,Hepatitis A,Most travelers
taiwan,Hepatitis B,Some travelers
taiwan,Japanese Encephalitis,Some travelers
taiwan,Rabies,Some travelers
tajikistan,Measles,All travelers
tajikistan,Routine vaccines,All travelers
tajikistan,Hepatitis A,Most travelers
tajikistan,Typhoid,Most travelers
tajikistan,Hepatitis B,Some travelers
tajikistan,Rabies,Some travelers
tajikistan,Malaria,Some travelers
tanzania,Measles,All travelers
tanzania,Routine vaccines,All travelers
tanzania,Hepatitis A,Most travelers
tanzania,Typhoid,Most travelers
tanzania,Cholera,Some travelers
tanzania,Hepatitis B,Some travelers
tanzania,Malaria,Some travelers
tanzania,Rabies,Some travelers
tanzania,Yellow Fever,Some travelers
thailand,Measles,All travelers
thailand,Routine vaccines,All travelers
thailand,Hepatitis A,Most travelers
thailand,Typhoid,Most travelers
thailand,Cholera,Some travelers
thailand,Hepatitis B,Some travelers
thailand,Japanese Encephalitis,Some travelers
thailand,Malaria,Some travelers
thailand,Rabies,Some travelers
thailand,Yellow Fever,Some travelers
east-timor,Measles,All travelers
east-timor,Routine vaccines,All travelers
east-timor,Hepatitis A,Most travelers
east-timor,Malaria,Most travelers
east-timor,Typhoid,Most travelers
east-timor,Hepatitis B,Some travelers
east-timor,Japanese Encephalitis,Some travelers
east-timor,Rabies,Some travelers
trinidad-and-tobago,Measles,All travelers
trinidad-and-tobago,Routine vaccines,All travelers
trinidad-and-tobago,Hepatitis A,Most travelers
trinidad-and-tobago,Typhoid,Most travelers
trinidad-and-tobago,Hepatitis B,Some travelers
trinidad-and-tobago,Rabies,Some travelers
trinidad-and-tobago,Yellow Fever,Some travelers
togo,Measles,All travelers
togo,Routine vaccines,All travelers
togo,Yellow Fever,All travelers
togo,Hepatitis A,Most travelers
togo,Malaria,Most travelers
togo,Typhoid,Most travelers
togo,Hepatitis B,Some travelers
togo,Meningitis (Meningococcal disease),Some travelers
togo,Rabies,Some travelers
tokelau,Measles,All travelers
tokelau,Routine vaccines,All travelers
tokelau,Hepatitis A,Most travelers
tokelau,Typhoid,Most travelers
tokelau,Hepatitis B,Some travelers
tonga,Measles,All travelers
tonga,Routine vaccines,All travelers
tonga,Hepatitis A,Most travelers
tonga,Typhoid,Most travelers
tonga,Hepatitis B,Some travelers
tunisia,Measles,All travelers
tunisia,Routine vaccines,All travelers
tunisia,Hepatitis A,Most travelers
tunisia,Typhoid,Most travelers
tunisia,Hepatitis B,Some travelers
tunisia,Rabies,Some travelers
turkey,Measles,All travelers
turkey,Routine vaccines,All travelers
turkey,Hepatitis A,Most travelers
turkey,Typhoid,Most travelers
turkey,Hepatitis B,Some travelers
turkey,Rabies,Some travelers
turkmenistan,Measles,All travelers
turkmenistan,Routine vaccines,All travelers
turkmenistan,Hepatitis A,Most travelers
turkmenistan,Typhoid,Most travelers
turkmenistan,Hepatitis B,Some travelers
turkmenistan,Rabies,Some travelers
tuvalu,Measles,All travelers
tuvalu,Routine vaccines,All travelers
tuvalu,Hepatitis A,Most travelers
tuvalu,Typhoid,Most travelers
tuvalu,Hepatitis B,Some travelers
uganda,Measles,All travelers
uganda,Yellow Fever,All travelers
uganda,Routine vaccines,All travelers
uganda,Hepatitis A,Most travelers
uganda,Malaria,Most travelers
uganda,Typhoid,Most travelers
uganda,Cholera,Some travelers
uganda,Hepatitis B,Some travelers
uganda,Meningitis (Meningococcal disease),Some travelers
uganda,Rabies,Some travelers
ukraine,Measles,All travelers
ukraine,Routine vaccines,All travelers
ukraine,Hepatitis A,Most travelers
ukraine,Hepatitis B,Some travelers
ukraine,Rabies,Some travelers
united-states,NA,None
uruguay,Measles,All travelers
uruguay,Routine vaccines,All travelers
uruguay,Hepatitis A,Most travelers
uruguay,Typhoid,Most travelers
uruguay,Hepatitis B,Some travelers
uruguay,Rabies,Some travelers
uzbekistan,Measles,All travelers
uzbekistan,Routine vaccines,All travelers
uzbekistan,Hepatitis A,Most travelers
uzbekistan,Typhoid,Most travelers
uzbekistan,Hepatitis B,Some travelers
uzbekistan,Rabies,Some travelers
vanuatu,Measles,All travelers
vanuatu,Routine vaccines,All travelers
vanuatu,Hepatitis A,Most travelers
vanuatu,Malaria,Most travelers
vanuatu,Typhoid,Most travelers
vanuatu,Hepatitis B,Some travelers
venezuela,Measles,All travelers
venezuela,Routine vaccines,All travelers
venezuela,Hepatitis A,Most travelers
venezuela,Typhoid,Most travelers
venezuela,Hepatitis B,Some travelers
venezuela,Malaria,Some travelers
venezuela,Rabies,Some travelers
venezuela,Yellow Fever,Some travelers
vietnam,Measles,All travelers
vietnam,Routine vaccines,All travelers
vietnam,Hepatitis A,Most travelers
vietnam,Typhoid,Most travelers
vietnam,Japanese Encephalitis,Some travelers
vietnam,Hepatitis B,Some travelers
vietnam,Malaria,Some travelers
vietnam,Rabies,Some travelers
wake-island,Measles,All travelers
wake-island,Routine vaccines,All travelers
wake-island,Hepatitis A,Most travelers
wake-island,Typhoid,Most travelers
wake-island,Hepatitis B,Some travelers
western-sahara,Measles,All travelers
